Date,TOC,TP,Turbidity
6/26/2020,3.450770463,0.016554488,0.918030221
6/27/2020,3.452999937,0.016324312,0.919046641
6/28/2020,3.455244353,0.016089648,0.920134106
6/29/2020,3.457497741,0.015851312,0.921294267
6/30/2020,3.459754133,0.01561012,0.922528775
7/1/2020,3.462007558,0.015366888,0.923839283
7/2/2020,3.464252047,0.015122432,0.925227442
7/3/2020,3.466481632,0.014877568,0.926694906
7/4/2020,3.468690343,0.014633112,0.928243324
7/5/2020,3.47087221,0.01438988,0.92987435
7/6/2020,3.473021265,0.014148688,0.931589634
7/7/2020,3.475131538,0.013910352,0.93339083
7/8/2020,3.477197059,0.013675688,0.935279589
7/9/2020,3.479211859,0.013445512,0.937257563
7/10/2020,3.481169969,0.013220639,0.939326403
7/11/2020,3.48306542,0.013001887,0.941487763
7/12/2020,3.484892243,0.01279007,0.943743292
7/13/2020,3.486644467,0.012586006,0.946094645
7/14/2020,3.488316124,0.012390509,0.948543471
7/15/2020,3.489901244,0.012204396,0.951091424
7/16/2020,3.491393859,0.012028483,0.953740155
7/17/2020,3.492787998,0.011863586,0.956491316
7/18/2020,3.494077693,0.01171052,0.95934656
7/19/2020,3.495256973,0.011570103,0.962307537
7/20/2020,3.496319871,0.011443149,0.965375899
7/21/2020,3.497260416,0.011330475,0.9685533
7/22/2020,3.498072639,0.011232896,0.97184139
7/23/2020,3.498750571,0.01115123,0.975241821
7/24/2020,3.499288242,0.011086291,0.978756246
7/25/2020,3.499679684,0.011038895,0.982386316
7/26/2020,3.499918926,0.01100986,0.986133684
7/27/2020,3.5,0.011,0.99
7/28/2020,3.498542274,0.011066257,1.016854856
7/29/2020,3.494460641,0.01125563,1.084952992
7/30/2020,3.48819242,0.011554023,1.187373786
7/31/2020,3.480174927,0.011947339,1.317196615
8/1/2020,3.470845481,0.012421481,1.467500859
8/2/2020,3.460641399,0.012962353,1.631365894
8/3/2020,3.45,0.013555858,1.801871098
8/4/2020,3.439358601,0.0141879,1.972095849
8/5/2020,3.429154519,0.014844381,2.135119525
8/6/2020,3.419825073,0.015511205,2.284021503
8/7/2020,3.41180758,0.016174276,2.411881162
8/8/2020,3.405539359,0.016819496,2.51177788
8/9/2020,3.401457726,0.01743277,2.576791033
8/10/2020,3.4,0.018,2.6
8/11/2020,3.400651852,0.018562808,2.597828537
8/12/2020,3.402548148,0.019169279,2.591475727
8/13/2020,3.4056,0.019815008,2.581183944
8/14/2020,3.409718519,0.020495593,2.567195559
8/15/2020,3.414814815,0.02120663,2.549752942
8/16/2020,3.4208,0.021943717,2.529098468
8/17/2020,3.427585185,0.022702449,2.505474506
8/18/2020,3.435081481,0.023478423,2.479123429
8/19/2020,3.4432,0.024267237,2.450287608
8/20/2020,3.451851852,0.025064487,2.419209416
8/21/2020,3.460948148,0.025865769,2.386131224
8/22/2020,3.4704,0.026666681,2.351295403
8/23/2020,3.480118519,0.027462819,2.314944326
8/24/2020,3.490014815,0.02824978,2.277320364
8/25/2020,3.5,0.029023161,2.238665889
8/26/2020,3.509985185,0.029778558,2.199223273
8/27/2020,3.519881481,0.030511568,2.159234888
8/28/2020,3.5296,0.031217787,2.118943105
8/29/2020,3.539051852,0.031892814,2.078590295
8/30/2020,3.548148148,0.032532243,2.038418832
8/31/2020,3.5568,0.033131673,1.998671086
9/1/2020,3.564918519,0.033686699,1.959589429
9/2/2020,3.572414815,0.034192919,1.921416234
9/3/2020,3.5792,0.034645929,1.884393871
9/4/2020,3.585185185,0.035041326,1.848764712
9/5/2020,3.590281481,0.035374707,1.81477113
9/6/2020,3.5944,0.035641668,1.782655496
9/7/2020,3.597451852,0.035837806,1.752660182
9/8/2020,3.599348148,0.035958718,1.725027559
9/9/2020,3.6,0.036,1.7
9/10/2020,3.599784278,0.035953776,1.676414016
9/11/2020,3.599144389,0.035817708,1.652947889
9/12/2020,3.598091251,0.035595703,1.629606645
9/13/2020,3.596635779,0.035291667,1.606395309
9/14/2020,3.594788891,0.034909505,1.583318909
9/15/2020,3.592561503,0.034453125,1.560382469
9/16/2020,3.589964531,0.033926432,1.537591015
9/17/2020,3.587008893,0.033333333,1.514949575
9/18/2020,3.583705506,0.032677734,1.492463172
9/19/2020,3.580065284,0.031963542,1.470136834
9/20/2020,3.576099147,0.031194661,1.447975587
9/21/2020,3.571818009,0.030375,1.425984456
9/22/2020,3.567232788,0.029508464,1.404168467
9/23/2020,3.562354401,0.028598958,1.382532646
9/24/2020,3.557193763,0.027650391,1.361082019
9/25/2020,3.551761792,0.026666667,1.339821613
9/26/2020,3.546069405,0.025651693,1.318756452
9/27/2020,3.540127517,0.024609375,1.297891564
9/28/2020,3.533947046,0.02354362,1.277231973
9/29/2020,3.527538909,0.022458333,1.256782706
9/30/2020,3.520914021,0.021357422,1.236548789
10/1/2020,3.5140833,0.020244792,1.216535247
