Date,"Adjusted TOC, Downstream Strontia","Adjusted TP, Downstream Strontia","Adjusted turbidity, Downstream Strontia"
5/13/2020,3.095942153,0.014,1.738427734
5/14/2020,3.117333707,0.014,1.783929443
5/15/2020,3.139842564,0.014,1.834375
5/16/2020,3.163309017,0.014,1.889215088
5/17/2020,3.187573353,0.014,1.947900391
5/18/2020,3.212475864,0.014,2.009881592
5/19/2020,3.237856838,0.014,2.074609375
5/20/2020,3.263556566,0.014,2.141534424
5/21/2020,3.289415337,0.014,2.210107422
5/22/2020,3.315273441,0.014,2.279779053
5/23/2020,3.340971168,0.014,2.35
5/24/2020,3.366348808,0.014,2.420220947
5/25/2020,3.391246651,0.014,2.489892578
5/26/2020,3.415504986,0.014,2.558465576
5/27/2020,3.438964103,0.014,2.625390625
5/28/2020,3.461464292,0.014,2.690118408
5/29/2020,3.482845842,0.014,2.752099609
5/30/2020,3.502949045,0.014,2.810784912
5/31/2020,3.521614188,0.014,2.865625
6/1/2020,3.538681563,0.014,2.916070557
6/2/2020,3.553991458,0.014,2.961572266
6/3/2020,3.567384165,0.014,3.001580811
6/4/2020,3.578699972,0.014,3.035546875
6/5/2020,3.587779169,0.014,3.062921143
6/6/2020,3.594462046,0.014,3.083154297
6/7/2020,3.598588893,0.014,3.095697021
6/8/2020,3.6,0.014,3.1
6/9/2020,3.598151281,0.01400493,3.098979536
6/10/2020,3.59270712,0.014019448,3.095965006
6/11/2020,3.583820517,0.014043145,3.091026698
6/12/2020,3.571644468,0.014075615,3.084234904
6/13/2020,3.556331971,0.014116448,3.075659912
6/14/2020,3.538036022,0.014165237,3.065372015
6/15/2020,3.516909621,0.014221574,3.053441501
6/16/2020,3.493105764,0.014285051,3.039938661
6/17/2020,3.466777448,0.01435526,3.024933784
6/18/2020,3.438077672,0.014431793,3.008497162
6/19/2020,3.407159432,0.014514242,2.990699084
6/20/2020,3.374175726,0.014602198,2.97160984
6/21/2020,3.339279552,0.014695255,2.951299721
6/22/2020,3.302623907,0.014793003,2.929839016
6/23/2020,3.264361788,0.014895035,2.907298017
6/24/2020,3.224646193,0.015000943,2.883747012
6/25/2020,3.18363012,0.01511032,2.859256292
6/26/2020,3.141466566,0.015222756,2.833896147
6/27/2020,3.098308528,0.015337844,2.807736868
6/28/2020,3.054309004,0.015455176,2.780848744
6/29/2020,3.009620991,0.015574344,2.753302066
6/30/2020,2.964397487,0.01569494,2.725167124
7/1/2020,2.91879149,0.015816556,2.696514208
7/2/2020,2.872955996,0.015938784,2.667413607
7/3/2020,2.827044004,0.016061216,2.637935613
7/4/2020,2.78120851,0.016183444,2.608150516
