Date,"Adjusted TOC, NF Above Conf.","Adjusted TP, NF Above Conf.","Adjusted turbidity, NF Above Conf."
7/20/2020,2.185578863,0.004392137,4.063979712
7/21/2020,2.178373191,0.004048735,3.933846154
7/22/2020,2.171275653,0.003712588,3.802543365
7/23/2020,2.164243416,0.003384672,3.670608462
7/24/2020,2.157233648,0.003065961,3.538578558
7/25/2020,2.150203514,0.002757428,3.406990769
7/26/2020,2.143110182,0.002460048,3.276382212
7/27/2020,2.135910819,0.002174794,3.14729
7/28/2020,2.128562593,0.001902641,3.02025125
7/29/2020,2.121022669,0.001644562,2.895803077
7/30/2020,2.113248215,0.001401532,2.774482596
7/31/2020,2.105196398,0.001174525,2.656826923
8/1/2020,2.096824385,0.000964515,2.543373173
8/2/2020,2.088089343,0.000772476,2.434658462
8/3/2020,2.078948439,0.000599382,2.331219904
8/4/2020,2.06935884,0.000446206,2.233594615
8/5/2020,2.059277713,0.000313924,2.142319712
8/6/2020,2.048662225,0.000203509,2.057932308
8/7/2020,2.037469542,0.000115935,1.980969519
8/8/2020,2.025656833,5.22E-05,1.911968462
8/9/2020,2.013181263,1.32E-05,1.85146625
8/10/2020,2,0,1.8
8/11/2020,1.985384229,0,1.753167863
8/12/2020,1.968751254,0,1.706286496
8/13/2020,1.950277419,0,1.659470769
8/14/2020,1.930139068,0,1.612835556
8/15/2020,1.908512545,0,1.566495726
8/16/2020,1.885574194,0,1.520566154
8/17/2020,1.861500358,0,1.475161709
8/18/2020,1.836467384,0,1.430397265
8/19/2020,1.810651613,0,1.386387692
8/20/2020,1.784229391,0,1.343247863
8/21/2020,1.757377061,0,1.30109265
8/22/2020,1.730270968,0,1.260036923
8/23/2020,1.703087455,0,1.220195556
8/24/2020,1.676002867,0,1.181683419
8/25/2020,1.649193548,0,1.144615385
8/26/2020,1.622835842,0,1.109106325
8/27/2020,1.597106093,0,1.075271111
8/28/2020,1.572180645,0,1.043224615
8/29/2020,1.548235842,0,1.013081709
8/30/2020,1.525448029,0,0.984957265
8/31/2020,1.503993548,0,0.958966154
9/1/2020,1.484048746,0,0.935223248
9/2/2020,1.465789964,0,0.913843419
9/3/2020,1.449393548,0,0.894941538
9/4/2020,1.435035842,0,0.878632479
