Date ,South Platte Above Cheesman Flowrate (cfs),South Platte Below Cheesman Downstream (cfs) ,"Cheesman Air Temperature, Low (C)","Water Temperature, Cheesman, low (C)","Cheesman Air Temperature, High (C)","Water Temperature, Cheesman, high (C)",Roberts Tunnel Flowrate (cfs),"Strontia Springs Temperature, high (C)","Strontia Springs Temperature, low (C)"
8/26/2012,144.0,212.0,12.222222222222221,12.43462222222222,31.11111111111111,22.38151111111111,329.65,31.666666666666664,13.333333333333332
8/27/2012,154.0,255.0,12.777777777777777,12.727177777777776,30.555555555555554,22.088955555555554,341.9208333,31.666666666666664,13.333333333333332
8/28/2012,150.0,282.0,12.777777777777777,12.727177777777776,31.11111111111111,22.38151111111111,359.1,32.77777777777778,16.666666666666668
8/29/2012,147.0,282.0,12.222222222222221,12.43462222222222,30.555555555555554,22.088955555555554,359.1,32.77777777777778,13.88888888888889
8/30/2012,147.0,262.0,7.777777777777778,10.094177777777777,31.666666666666664,22.674066666666665,359.1,31.11111111111111,11.11111111111111
8/31/2012,146.0,245.0,8.88888888888889,10.67928888888889,30.555555555555554,22.088955555555554,359.1,32.22222222222222,12.777777777777777
9/1/2012,140.0,244.0,10.0,11.2644,30.555555555555554,22.088955555555554,359.1,32.77777777777778,12.222222222222221
9/2/2012,104.0,244.0,12.777777777777777,12.727177777777776,27.77777777777778,20.626177777777777,359.1,30.555555555555554,13.333333333333332
9/3/2012,97.9,244.0,8.333333333333334,10.386733333333334,29.444444444444443,21.503844444444443,335.5875,29.444444444444443,12.222222222222221
9/4/2012,93.5,244.0,8.88888888888889,10.67928888888889,30.0,21.7964,307.8,29.444444444444443,12.222222222222221
9/5/2012,88.1,244.0,7.222222222222222,9.801622222222221,28.88888888888889,21.211288888888888,307.8,28.88888888888889,7.777777777777778
9/6/2012,85.4,278.0,7.222222222222222,9.801622222222221,30.0,21.7964,278.35,30.555555555555554,8.88888888888889
9/7/2012,86.1,304.0,4.444444444444445,8.338844444444444,19.444444444444443,16.23784444444444,210.06875,20.0,4.444444444444445
9/8/2012,82.6,326.0,5.0,8.6314,26.11111111111111,19.74851111111111,129.6354167,24.444444444444443,6.111111111111111
9/9/2012,80.1,376.0,5.555555555555555,8.923955555555555,28.88888888888889,21.211288888888888,76.475,29.444444444444443,8.333333333333334
9/10/2012,77.5,426.0,8.88888888888889,10.67928888888889,29.444444444444443,21.503844444444443,77.9,31.666666666666664,8.88888888888889
9/11/2012,76.0,499.0,10.0,11.2644,27.77777777777778,20.626177777777777,78.85,28.88888888888889,8.88888888888889
9/12/2012,93.4,325.0,8.333333333333334,10.386733333333334,12.222222222222221,12.43462222222222,104.6583333,13.88888888888889,7.777777777777778
9/13/2012,100.0,165.0,2.7777777777777777,7.4611777777777775,18.88888888888889,15.94528888888889,145.35,19.444444444444443,5.0
9/14/2012,91.9,126.0,3.333333333333333,7.753733333333333,22.77777777777778,17.993177777777777,138.9770833,23.88888888888889,6.111111111111111
9/15/2012,93.7,90.5,4.444444444444445,8.338844444444444,27.22222222222222,20.33362222222222,144.2416667,27.77777777777778,7.222222222222222
9/16/2012,94.2,117.0,5.555555555555555,8.923955555555555,27.22222222222222,20.33362222222222,181.45,27.77777777777778,6.111111111111111
9/17/2012,91.0,178.0,3.333333333333333,7.753733333333333,16.666666666666668,14.775066666666667,203.3791667,16.666666666666668,5.0
9/18/2012,90.1,205.0,3.333333333333333,7.753733333333333,25.0,19.1634,233.7,23.88888888888889,8.333333333333334
