Date,"Adjusted TOC, SP Below Chatfield","Adjusted TP, SP Below Chatfield","Adjusted turbidity, SP Below Chatfield"
3/29/2020,3.1814360083424953,0.07296701097442847,3.5647951221364997
3/30/2020,3.186832883066433,0.07317288308503248,3.5770815029651546
3/31/2020,3.1930208802856015,0.07318387942688966,3.5888164622529883
4/1/2020,3.2,0.073,3.6
4/2/2020,3.20777024220963,0.07262124480436352,3.6106321162061903
4/3/2020,3.2163316069144923,0.0720476138399802,3.6207128108715594
4/4/2020,3.2256840941145835,0.07127910710685004,3.630242083996106
4/5/2020,3.235827703809907,0.07031572460497307,3.639219935579832
4/6/2020,3.2467624360004614,0.06915746633434924,3.6476463656227356
4/7/2020,3.258488290686247,0.06780433229497862,3.6555213741248185
4/8/2020,3.271005267867264,0.06625632248686114,3.66284496108608
4/9/2020,3.284313367543512,0.06451343690999684,3.6696171265065196
4/10/2020,3.2984125897149905,0.0625756755643857,3.6758378703861374
4/11/2020,3.3133029343817006,0.06044303845002772,3.6815071927249345
4/12/2020,3.3289844015436416,0.05811552556692292,3.6866250935229097
4/13/2020,3.345456991200814,0.055593136915071284,3.6911915727800633
4/14/2020,3.362720703353217,0.052875872494472814,3.6952066304963953
4/15/2020,3.3807755380008513,0.04996373230512751,3.698670266671906
4/16/2020,3.3996214951437165,0.04685671634703538,3.7015824813065947
4/17/2020,3.4184708167741933,0.043710974021414044,3.703147296107447
4/18/2020,3.4365357448846616,0.04068265472948115,3.7025687327814487
4/19/2020,3.453816279475122,0.037771758471236656,3.6998467913285986
4/20/2020,3.470312420545574,0.0349782852466806,3.694981471748898
4/21/2020,3.4860241680960176,0.03230223505581296,3.687972774042345
4/22/2020,3.5009515221264533,0.029743607898633753,3.6788206982089413
4/23/2020,3.51509448263688,0.02730240377514297,3.6675252442486865
4/24/2020,3.5284530496272994,0.024978622685340613,3.6540864121615795
4/25/2020,3.54102722309771,0.022772264629226675,3.638504201947623
4/26/2020,3.552817003048112,0.020683329606801165,3.6207786136068134
4/27/2020,3.5638223894785055,0.018711817618064085,3.600909647139153
4/28/2020,3.5740433823888917,0.016857728663015423,3.578897302544642
4/29/2020,3.5834799817792695,0.015121062741655191,3.554741579823279
4/30/2020,3.5921321876496393,0.013501819853983384,3.5284424789750646
5/1/2020,3.6,0.012,3.5
5/2/2020,3.607083418830353,0.01061560317970504,3.469414142898083
5/3/2020,3.613382444140697,0.009348629393098506,3.436684907669315
5/4/2020,3.618897075931033,0.008199078640180397,3.4018122943136953
5/5/2020,3.62362731420136,0.007166950920950713,3.364796302831224
5/6/2020,3.6275731589516798,0.006252246235409454,3.3256369332219027
5/7/2020,3.630734610181992,0.005454964583556619,3.2843341854857298
5/8/2020,3.6331116678922952,0.004775105965392212,3.240888059622706
5/9/2020,3.63470433208259,0.004212670380916228,3.1952985556328297
5/10/2020,3.6355126027528755,0.0037676578301286696,3.147565673516102
5/11/2020,3.6355364799031546,0.0034400683130295364,3.097689413272524
5/12/2020,3.634775963533425,0.0032299018296188275,3.045669774902095
5/13/2020,3.6332310536436867,0.003137158379896545,2.991506758404814
5/14/2020,3.63090175023394,0.0031618379638626857,2.935200363780682
5/15/2020,3.6277880533041853,0.0033039405815172528,2.876750591029699
5/16/2020,3.6238899628544226,0.0035634662328602436,2.8161574401518643
5/17/2020,3.619358526754644,0.003930336448343301,2.7547162622389005
5/18/2020,3.6151000322248055,0.004344080410676263,2.700199163841143
5/19/2020,3.611265527134899,0.0047946196503107705,2.653901496050313
5/20/2020,3.607855011484926,0.005281954167246823,2.6158232588664116
5/21/2020,3.6048684852748853,0.005806083961484422,2.5859644522894385
5/22/2020,3.6023059485047773,0.006367009033023565,2.564325076319394
5/23/2020,3.6001674011746028,0.006964729381864253,2.550905130956277
5/24/2020,3.59845284328436,0.007599245008006489,2.5457046162000894
5/25/2020,3.5971622748340506,0.008270555911450268,2.548723532050829
5/26/2020,3.596295695823674,0.008978662092195593,2.559961878508497
5/27/2020,3.5958531062532293,0.009723563550242464,2.5794196555730933
5/28/2020,3.595834506122718,0.01050526028559088,2.6070968632446183
5/29/2020,3.5962398954321397,0.011323752298240843,2.6429935015230717
5/30/2020,3.5970692741814942,0.01217903958819235,2.687109570408453
5/31/2020,3.5983226423707806,0.013071122155445402,2.7394450699007624
6/1/2020,3.6,0.014,2.8
6/2/2020,3.6021013470691523,0.014965673121856144,2.8687743607061655
6/3/2020,3.6046266835782372,0.01596814152101383,2.9457681520192596
6/4/2020,3.607576009527255,0.017007405197473065,3.030981373939282
6/5/2020,3.610949324916205,0.018083464151233845,3.1244140264662326
6/6/2020,3.6147466297450883,0.01919631838229617,3.2260661096001115
6/7/2020,3.618967924013904,0.02034596789066004,3.335937623340919
6/8/2020,3.623613207722652,0.021532412676325455,3.454028567688654
6/9/2020,3.628682480871334,0.022755652739292417,3.5803389426433174
6/10/2020,3.6341757434599473,0.02401568807956092,3.714868748204909
6/11/2020,3.6400929954884935,0.025312518697130974,3.8576179843734293
6/12/2020,3.6464342369569733,0.026646144592002572,4.008586651148878
6/13/2020,3.653199467865386,0.028016565764175716,4.167774748531254
6/14/2020,3.6603886882137306,0.029423782213650402,4.335182276520559
6/15/2020,3.668001898002008,0.030867793940426633,4.510809235116792
6/16/2020,3.676039097230218,0.03234860094450441,4.694655624319953
6/17/2020,3.683844837816382,0.03380408705129771,4.879438407973604
6/18/2020,3.690763671678521,0.03517213608622049,5.057874549921305
6/19/2020,3.6967955988166334,0.03645274804927276,5.229964050163057
6/20/2020,3.7019406192307214,0.03764592294045452,5.395706908698858
6/21/2020,3.7061987329207833,0.03875166075976576,5.55510312552871
6/22/2020,3.709569939886819,0.039769961507206485,5.708152700652613
6/23/2020,3.712054240128831,0.040700825182776706,5.8548556340705655
6/24/2020,3.7136516336468155,0.041544251786476416,5.995211925782568
6/25/2020,3.714362120440775,0.04230024131830561,6.1292215757886215
6/26/2020,3.71418570051071,0.04296879377826429,6.256884584088726
6/27/2020,3.713122373856619,0.04354990916635245,6.37820095068288
6/28/2020,3.711172140478502,0.04404358748257011,6.493170675571083
6/29/2020,3.7083350003763607,0.04444982872691726,6.601793758753339
6/30/2020,3.7046109535501928,0.04476863289939389,6.704070200229644
7/1/2020,3.7,0.045,6.8
7/2/2020,3.694502139725781,0.04514393002873561,6.889583158064406
7/3/2020,3.6881173727275374,0.045200422985600695,6.972819674422863
7/4/2020,3.6808456990052676,0.045169478870595275,7.049709549075369
7/5/2020,3.6726871185589722,0.045051097683719336,7.120252782021926
7/6/2020,3.6636416313886526,0.04484527942497289,7.184449373262534
7/7/2020,3.653709237494306,0.04455202409435593,7.242299322797191
7/8/2020,3.642889936875935,0.04417133169186846,7.293802630625899
7/9/2020,3.6311837295335385,0.04370320221751048,7.3389592967486585
7/10/2020,3.6185906154671157,0.04314763567128197,7.3777693211654665
7/11/2020,3.6051105946766677,0.042504632053182966,7.410232703876327
7/12/2020,3.5907436671621946,0.04177419136321345,7.436349444881236
7/13/2020,3.5754898329236955,0.040956313601373404,7.456119544180195
7/14/2020,3.5593490919611708,0.040050998767662854,7.469543001773205
7/15/2020,3.542321444274621,0.0390582468620818,7.476619817660267
7/16/2020,3.5244068898640455,0.03797805788463022,7.477349991841377
7/17/2020,3.5057956943851916,0.036827285537211346,7.472539050324103
7/18/2020,3.4876294517725386,0.03570705203124442,7.467020149153835
7/19/2020,3.470098427681835,0.03463421106863266,7.461598814338137
7/20/2020,3.4532026221130794,0.03360876264937608,7.456275045877011
7/21/2020,3.4369420350662727,0.032630706773474655,7.451048843770456
7/22/2020,3.4213166665414145,0.0317000434409284,7.44592020801847
7/23/2020,3.4063265165385044,0.03081677265173731,7.4408891386210545
