,Date,"Water Temperature, MS above Confluence","Water Temperature, NF above Confluence","Water Temperature, Upstream Strontia","Water Temperature, Downstream Strontia","Water Temperature, SP Below Chatfield",Waterton Gage (cfs),"Temp Ch, C (high) ","Chatfield, Low Temp (C)","Waterton Gage, High Water Temp (C)","Waterton Gage, Low Water Temp (C)",South Platte Above Cheesman Flowrate (cfs),South Platte Below Cheesman Downstream (cfs) ,"Cheesman Air Temperature, Low (C)","Water Temperature, Cheesman, low (C)","Cheesman Air Temperature, High (C)","Water Temperature, Cheesman, high (C)",Roberts Tunnel Flowrate (cfs),"Strontia Springs Temperature, high (C)","Strontia Springs Temperature, low (C)",Conduit 20 to Marston Total (No Chatfield water) ,Conduit 20 (with Chatfield flow) (cfs),Marston WTP Outflow (cfs),Strontia Springs Outflow (cfs),"Marston Temperature, high (C)","Marston Temperature, low (C)"
1728,2/23/2017,4.214253504685759,4.04312262295177,5.069176738853196,6.2479986548852295,11.31349664585211,0.35907244833864727,-1.1,-11.1,2.43643,-3.52057,2.943836871093645,4.335982696172475,-12.22222222222222,-0.4378222222222208,-1.1111111111111112,5.413288888888889,78.63333333,-1.6666666666666663,-10.0,8.5848704125339,8.5848704125339,5.953990258641679,4.553876891600541,13.88888889,-2.777777778
1729,2/24/2017,4.321959045389318,4.0738241503028325,5.094556976205213,6.361351142172759,11.421791962176554,0.3774235702999315,-1.1,-13.3,2.43643,-4.831110000000001,2.989797790793073,4.497584975308154,-14.444444444444445,-1.6080444444444435,-6.111111111111111,2.7802888888888897,92.84375,-5.555555555555555,-16.666666666666668,9.013323471395,9.013323471395,7.927168473042565,4.61512051684126,-0.555555556,-9.444444444
1730,2/25/2017,4.424492853032402,4.102738994583354,5.116323801959543,6.4665421268195935,11.521130116247743,0.34572295097830835,2.8,-13.3,4.75966,-4.831110000000001,3.0357587105822876,4.4942386252808095,-12.22222222222222,-0.4378222222222208,1.6666666666666663,6.8760666666666665,97.19791667,2.2222222222222223,-14.444444444444445,9.004998611882181,9.004998611882181,8.148005891014071,4.584967478670572,-4.444444444,-11.11111111
1731,2/26/2017,4.521854927615013,4.129867155793329,5.134477216116186,6.563571608825735,11.611511108065686,0.3659793747600114,5.0,-13.3,6.0702,-4.831110000000001,3.081719630121964,4.48863636973214,-7.777777777777778,1.9026222222222229,4.444444444444445,8.338844444444444,96.88125,3.888888888888889,-14.444444444444445,8.99499861033897,8.99499861033897,8.148005891014071,4.584967478670572,2.777777778,-11.11111111
1732,2/27/2017,4.614045269137149,4.155208633932763,5.149017218675144,6.652439588191185,11.692934937630376,0.36901920979061353,12.8,-5.0,10.71666,0.1131999999999999,3.127680549898457,4.487512142519859,-3.888888888888889,3.950511111111112,7.222222222222222,9.80162222222222,96.96041667,10.555555555555555,-11.666666666666666,9.018314698434514,9.018314698434514,8.148005891014071,4.59511985013459,5.0,-10.0
1733,2/28/2017,4.701063877598812,4.178763429001654,5.159943809636415,6.733146064915938,11.765401604941813,0.38444047991431457,3.3,-12.8,5.05751,-4.53326,3.173641469351375,4.489759334476764,-10.0,0.7324000000000002,2.7777777777777777,7.4611777777777775,92.4875,1.6666666666666663,-13.333333333333332,9.017760254076396,9.017760254076396,8.148005891014071,4.605170185988092,12.22222222,-3.333333333
1734,3/1/2017,4.782910753,4.200531541,5.167256989,6.805691039,11.82891111,0.3696394113101294,7.8,-6.7,7.738160000000001,-0.8994900000000001,3.219602389256359,4.489759334476764,-10.555555555555555,0.4398444444444456,8.333333333333334,10.386733333333334,97.35625,6.666666666666666,-12.777777777777777,9.016651263079881,9.016651263079881,8.148005891014071,4.605170185988092,12.22222222,-7.777777778
1735,3/2/2017,4.8595858953407145,4.220512969927803,5.170956756765898,6.870074510443366,11.883463452804936,0.38371511879510384,11.7,-3.9,10.06139,0.7684699999999998,3.265563308715873,4.489759334476764,-9.444444444444445,1.0249555555555556,10.555555555555555,11.556955555555554,97.55416667,10.0,-6.666666666666666,9.023857268374762,9.023857268374762,8.148005891014071,4.605170185988092,11.11111111,-6.666666667
1736,3/3/2017,4.931089304620955,4.238707715785064,5.171043112934112,6.926296479246041,11.929058633356622,0.38371511879510384,16.7,-2.2,13.03989,1.78116,3.3115242285602635,4.490881039585964,-3.333333333333333,4.243066666666667,16.666666666666668,14.775066666666667,101.94791667,14.444444444444445,-3.888888888888889,9.023857268374762,9.023857268374762,8.148005891014071,4.605170185988092,11.11111111,-6.666666667
1737,3/4/2017,4.997420980840721,4.255115778571779,5.1675160575046375,6.974356945408021,11.965696651655051,0.38444047991431457,21.1,-2.2,15.66097,1.78116,3.3574851481026244,4.497584975308154,2.7777777777777777,7.4611777777777775,15.555555555555555,14.189955555555557,101.78958333,18.88888888888889,-4.444444444444445,9.023857268374762,9.023857268374762,8.148005891014071,4.605170185988092,16.11111111,0.555555556
1738,3/5/2017,5.058580924000013,4.269737158287953,5.160375590477478,7.014255908929307,11.993377507700234,0.38371511879510384,19.4,1.7,14.648279999999998,4.10439,3.403446067804625,4.498697941477575,0.0,5.9984,14.444444444444445,13.604844444444444,101.71041667,18.33333333333333,-3.888888888888889,9.023857268374762,9.023857268374762,8.148005891014071,4.605170185988092,20.55555556,3.888888889
1739,3/6/2017,5.114569134098831,4.282571854933582,5.149621711852631,7.045993369809901,12.012101201492165,0.3787861220823229,5.6,-10.0,6.427619999999999,-2.8653,3.4494069874989366,4.500920164614292,-7.222222222222222,2.1951777777777783,1.1111111111111112,6.583511111111111,111.3291667,5.555555555555555,-10.0,9.754998718605759,9.754998718605759,8.794884877018005,4.7535901911063645,19.44444444,0.555555556
1740,3/7/2017,5.165385611137175,4.293619868508668,5.135254421630099,7.069569328049801,12.021867733030843,0.3912261203886288,13.3,-5.6,11.01451,-0.2442199999999998,3.49536790715562,4.499809670330265,-0.5555555555555556,5.705844444444445,10.555555555555555,11.556955555555554,117.2270833,11.666666666666666,-5.0,10.081666528902849,10.081666528902849,8.148005891014071,4.812184355372417,6.111111111,-6.666666667
1741,3/8/2017,5.211030355115046,4.302881199013211,5.11727371980988,7.084983783649008,12.022677102316273,0.3579709921905564,18.3,3.3,13.99301,5.05751,3.5413288270670082,4.500920164614292,-1.6666666666666663,5.120733333333334,17.77777777777778,15.360177777777778,84.68958333,18.33333333333333,-3.333333333333333,10.114346246792227,10.114346246792227,8.148005891014071,4.844187086458591,12.22222222,-1.111111111
1742,3/9/2017,5.251503366032441,4.3103558464472105,5.095679606391975,7.09223673660752,12.014529309348449,0.355275325200713,21.7,-6.1,16.01839,-0.5420699999999998,3.5872897466808285,4.502029427068578,-0.5555555555555556,5.705844444444445,19.444444444444443,16.23784444444444,73.09166667,20.555555555555557,-3.888888888888889,10.086129089001389,10.086129089001389,8.148005891014071,4.844187086458591,19.44444444,2.777777778
1743,3/10/2017,5.286804643889364,4.316043810810667,5.070472081376384,7.09132818692534,11.997424354127377,0.3273796750780409,18.3,-3.9,13.99301,0.7684699999999998,3.6332506663581126,4.502029427068578,0.5555555555555556,6.290955555555556,21.11111111111111,17.11551111111111,104.8770833,17.77777777777778,-2.2222222222222223,9.476813810558905,9.476813810558905,8.148005891014071,4.852030263919617,21.66666667,-2.777777778
